series	series_original	compartment
Germany_NBOF8 HG Zoarces viviparus MU Not_applicable	Germany_NBOF8 HG Zoarces viviparus MU Not_applicable	biota
Germany_NBNF5 HG Mytilus edulis SB Not_applicable	Germany_NBNF5 HG Mytilus edulis SB Not_applicable	biota
Denmark_LIM-3702-4 HG Mytilus edulis SB Not_applicable	Denmark_LIM-3702-4 HG Mytilus edulis SB Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 HG Pleuronectes platessa LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 HG Pleuronectes platessa LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 HG Pleuronectes platessa MU Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 HG Pleuronectes platessa MU Not_applicable	biota
Germany_NBOF8 HG Larus argentatus EH Not_applicable	Germany_NBOF8 HG Larus argentatus EH Not_applicable	biota
United Kingdom_Anglia_Orwell_sh01 HG Mytilus edulis SB Not_applicable	United Kingdom_Anglia_Orwell_sh01 HG Mytilus edulis SB Not_applicable	biota
Denmark_LIM-3720-1 HG Mytilus edulis SB Not_applicable	Denmark_LIM-3720-1 HG Mytilus edulis SB Not_applicable	biota
Denmark_SJYLISD5001 HG Mytilus edulis SB Not_applicable	Denmark_SJYLISD5001 HG Mytilus edulis SB Not_applicable	biota
Denmark_RIB2151001 HG Mytilus edulis SB Not_applicable	Denmark_RIB2151001 HG Mytilus edulis SB Not_applicable	biota
Denmark_RKB-RFMS1 HG Mya arenaria SB Not_applicable	Denmark_RKB-RFMS1 HG Mya arenaria SB Not_applicable	biota
Belgium_BCP HG Platichthys flesus MU Not_applicable	Belgium_BCP HG Platichthys flesus MU Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi01 HG Limanda limanda LI Not_applicable	United Kingdom_Anglia_AnOpenSea_fi01 HG Limanda limanda LI Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi01 HG Limanda limanda MU Not_applicable	United Kingdom_Anglia_AnOpenSea_fi01 HG Limanda limanda MU Not_applicable	biota
United Kingdom_Anglia_Oblackwat_sh01 HG Mytilus edulis SB Not_applicable	United Kingdom_Anglia_Oblackwat_sh01 HG Mytilus edulis SB Not_applicable	biota
Denmark_RIB2161010 HG Mytilus edulis SB Not_applicable	Denmark_RIB2161010 HG Mytilus edulis SB Not_applicable	biota
Germany_Spog_Myt_1 HG Mytilus edulis SB Not_applicable	Germany_Spog_Myt_1 HG Mytilus edulis SB Not_applicable	biota
Germany_AuWe_F_1 HG Platichthys flesus MU Not_applicable	Germany_AuWe_F_1 HG Platichthys flesus MU Not_applicable	biota
Germany_FOE-GB1 HG Limanda limanda MU Not_applicable	Germany_FOE-GB1 HG Limanda limanda MU Not_applicable	biota
Germany_Balt_F_1 HG Platichthys flesus MU Not_applicable	Germany_Balt_F_1 HG Platichthys flesus MU Not_applicable	biota
Germany_FOE-GB3 HG Limanda limanda MU Not_applicable	Germany_FOE-GB3 HG Limanda limanda MU Not_applicable	biota
Germany_FOE-N01 HG Limanda limanda MU Not_applicable	Germany_FOE-N01 HG Limanda limanda MU Not_applicable	biota
Germany_FOE-N04 HG Limanda limanda MU Not_applicable	Germany_FOE-N04 HG Limanda limanda MU Not_applicable	biota
Germany_FOE-N11 HG Limanda limanda MU Not_applicable	Germany_FOE-N11 HG Limanda limanda MU Not_applicable	biota
Germany_Bork_Myt_1 HG Mytilus edulis SB Not_applicable	Germany_Bork_Myt_1 HG Mytilus edulis SB Not_applicable	biota
Denmark_LIM-3705-1 HG Mytilus edulis SB Not_applicable	Denmark_LIM-3705-1 HG Mytilus edulis SB Not_applicable	biota
Belgium_DVZ_KNO HG Mytilus edulis SB Not_applicable	Belgium_DVZ_KNO HG Mytilus edulis SB Not_applicable	biota
The Netherlands_BOCHTVWTM HG Crassostrea gigas SB Not_applicable	The Netherlands_BOCHTVWTM HG Crassostrea gigas SB Not_applicable	biota
The Netherlands_DOGGBK HG Pleuronectes platessa MU Not_applicable	The Netherlands_DOGGBK HG Pleuronectes platessa MU Not_applicable	biota
The Netherlands_IJMDWT80 HG Pleuronectes platessa MU Not_applicable	The Netherlands_IJMDWT80 HG Pleuronectes platessa MU Not_applicable	biota
The Netherlands_NOORDWWT HG Platichthys flesus MU Not_applicable	The Netherlands_NOORDWWT HG Platichthys flesus MU Not_applicable	biota
The Netherlands_KNUITHK HG Crassostrea gigas SB Not_applicable	The Netherlands_KNUITHK HG Crassostrea gigas SB Not_applicable	biota
Denmark_DMU R1035 HG Pleuronectes platessa LI Not_applicable	Denmark_DMU R1035 HG Pleuronectes platessa LI Not_applicable	biota
Denmark_DMU R1035 HG Pleuronectes platessa MU Not_applicable	Denmark_DMU R1035 HG Pleuronectes platessa MU Not_applicable	biota
United Kingdom_HumWash_HWInter_fi02 HG Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWInter_fi02 HG Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWInter_fi02 HG Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWInter_fi02 HG Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWInter_fi01 HG Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWInter_fi01 HG Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWInter_fi01 HG Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWInter_fi01 HG Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi02 HG Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi02 HG Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi02 HG Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi02 HG Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi03 HG Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi03 HG Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi03 HG Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi03 HG Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi01 HG Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi01 HG Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi01 HG Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi01 HG Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi04 HG Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi04 HG Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi04 HG Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi04 HG Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 HG Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 HG Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 HG Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 HG Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi01 HG Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi01 HG Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi01 HG Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi01 HG Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_Witham_sh01 HG Mytilus edulis SB Not_applicable	United Kingdom_HumWash_Witham_sh01 HG Mytilus edulis SB Not_applicable	biota
Belgium_DVZ_NWP HG Mytilus edulis SB Not_applicable	Belgium_DVZ_NWP HG Mytilus edulis SB Not_applicable	biota
Belgium_DVZ_OST HG Mytilus edulis SB Not_applicable	Belgium_DVZ_OST HG Mytilus edulis SB Not_applicable	biota
United Kingdom_Anglia_ThamesLw_sh01 HG Mytilus edulis SB Not_applicable	United Kingdom_Anglia_ThamesLw_sh01 HG Mytilus edulis SB Not_applicable	biota
The Netherlands_KNUITHK HG Mytilus edulis SB Not_applicable	The Netherlands_KNUITHK HG Mytilus edulis SB Not_applicable	biota
Denmark_RIB2161022 HG Mytilus edulis SB Not_applicable	Denmark_RIB2161022 HG Mytilus edulis SB Not_applicable	biota
Germany_Nney_Myt_1 HG Mytilus edulis SB Not_applicable	Germany_Nney_Myt_1 HG Mytilus edulis SB Not_applicable	biota
Germany_WuKu_Myt_1 HG Mytilus edulis SB Not_applicable	Germany_WuKu_Myt_1 HG Mytilus edulis SB Not_applicable	biota
Germany_Jade_F_1 HG Platichthys flesus MU Not_applicable	Germany_Jade_F_1 HG Platichthys flesus MU Not_applicable	biota
Germany_Jade_Myt_1 HG Mytilus edulis SB Not_applicable	Germany_Jade_Myt_1 HG Mytilus edulis SB Not_applicable	biota
Germany_JaBu_Myt_1 HG Mytilus edulis SB Not_applicable	Germany_JaBu_Myt_1 HG Mytilus edulis SB Not_applicable	biota
The Netherlands_MIDDGBWPMLPT HG Platichthys flesus MU Not_applicable	The Netherlands_MIDDGBWPMLPT HG Platichthys flesus MU Not_applicable	biota
The Netherlands_PAAPGTGRDPT HG Platichthys flesus MU Not_applicable	The Netherlands_PAAPGTGRDPT HG Platichthys flesus MU Not_applicable	biota
The Netherlands_TERSLNWT40 HG Pleuronectes platessa MU Not_applicable	The Netherlands_TERSLNWT40 HG Pleuronectes platessa MU Not_applicable	biota
Denmark_SJY JUVD5001 HG Mytilus edulis SB Not_applicable	Denmark_SJY JUVD5001 HG Mytilus edulis SB Not_applicable	biota
France_Kervel HG Donax trunculus SB Not_applicable	France_Kervel HG Donax trunculus SB Not_applicable	biota
France_Baie de Lampaul HG Crassostrea gigas SB Not_applicable	France_Baie de Lampaul HG Crassostrea gigas SB Not_applicable	biota
France_Brouennou HG Cerastoderma edule SB Not_applicable	France_Brouennou HG Cerastoderma edule SB Not_applicable	biota
France_Petit Taureau HG Cerastoderma edule SB Not_applicable	France_Petit Taureau HG Cerastoderma edule SB Not_applicable	biota
France_Saint-Brieuc coques HG Cerastoderma edule SB Not_applicable	France_Saint-Brieuc coques HG Cerastoderma edule SB Not_applicable	biota
France_Fresnaie coques HG Cerastoderma edule SB Not_applicable	France_Fresnaie coques HG Cerastoderma edule SB Not_applicable	biota
France_Baie de la Fresnaye HG Cerastoderma edule SB Not_applicable	France_Baie de la Fresnaye HG Cerastoderma edule SB Not_applicable	biota
France_Le Douron HG Cerastoderma edule SB Not_applicable	France_Le Douron HG Cerastoderma edule SB Not_applicable	biota
France_Le Castel HG Cerastoderma edule SB Not_applicable	France_Le Castel HG Cerastoderma edule SB Not_applicable	biota
France_Sillon noir HG Cerastoderma edule SB Not_applicable	France_Sillon noir HG Cerastoderma edule SB Not_applicable	biota
France_Vildé HG Ruditapes philippinarum SB Not_applicable	France_Vildé HG Ruditapes philippinarum SB Not_applicable	biota
France_Ville Ger HG Ruditapes philippinarum SB Not_applicable	France_Ville Ger HG Ruditapes philippinarum SB Not_applicable	biota
France_Camaret - Pointe Sainte Barbe HG Mytilus edulis SB Not_applicable	France_Camaret - Pointe Sainte Barbe HG Mytilus edulis SB Not_applicable	biota
France_Kernisi HG Crassostrea gigas SB Not_applicable	France_Kernisi HG Crassostrea gigas SB Not_applicable	biota
France_Kersanton HG Mytilus edulis SB Not_applicable	France_Kersanton HG Mytilus edulis SB Not_applicable	biota
France_Pointe de Glugeau HG Crassostrea gigas SB Not_applicable	France_Pointe de Glugeau HG Crassostrea gigas SB Not_applicable	biota
France_Sillon des anglais - Kerberon HG Mytilus edulis SB Not_applicable	France_Sillon des anglais - Kerberon HG Mytilus edulis SB Not_applicable	biota
France_Aulne Rive droite HG Mytilus edulis SB Not_applicable	France_Aulne Rive droite HG Mytilus edulis SB Not_applicable	biota
France_Aulne Rive droite HG Mytilus galloprovincialis SB Not_applicable	France_Aulne Rive droite HG Mytilus galloprovincialis SB Not_applicable	biota
Ireland_Cromane HG Crassostrea gigas SB Not_applicable	Ireland_Cromane HG Crassostrea gigas SB Not_applicable	biota
France_Cancale eau profonde HG Crepidula fornicata SB Not_applicable	France_Cancale eau profonde HG Crepidula fornicata SB Not_applicable	biota
France_Rossermeur HG Ruditapes decussatus SB Not_applicable	France_Rossermeur HG Ruditapes decussatus SB Not_applicable	biota
France_Baie de Lampaul HG Mytilus edulis SB Not_applicable	France_Baie de Lampaul HG Mytilus edulis SB Not_applicable	biota
Ireland_Bandon Estuary Lower HG Mytilus edulis SB Not_applicable	Ireland_Bandon Estuary Lower HG Mytilus edulis SB Not_applicable	biota
Ireland_Bantry Bay Inner HG Mytilus edulis SB Not_applicable	Ireland_Bantry Bay Inner HG Mytilus edulis SB Not_applicable	biota
Ireland_Roaringwater Bay Inner HG Mytilus edulis SB Not_applicable	Ireland_Roaringwater Bay Inner HG Mytilus edulis SB Not_applicable	biota
Ireland_Roaringwater Bay Outer Stn 1 HG Mytilus edulis SB Not_applicable	Ireland_Roaringwater Bay Outer Stn 1 HG Mytilus edulis SB Not_applicable	biota
United Kingdom_Severn_Camel_sh02 HG Mytilus edulis SB Not_applicable	United Kingdom_Severn_Camel_sh02 HG Mytilus edulis SB Not_applicable	biota
France_Kervel HG Crassostrea gigas SB Not_applicable	France_Kervel HG Crassostrea gigas SB Not_applicable	biota
Ireland_Lough Mahon HG Mytilus edulis SB Not_applicable	Ireland_Lough Mahon HG Mytilus edulis SB Not_applicable	biota
France_Pointe du Roselier HG Mytilus galloprovincialis SB Not_applicable	France_Pointe du Roselier HG Mytilus galloprovincialis SB Not_applicable	biota
France_Cancale sud HG Crassostrea gigas SB Not_applicable	France_Cancale sud HG Crassostrea gigas SB Not_applicable	biota
France_Le Castel HG Crassostrea gigas SB Not_applicable	France_Le Castel HG Crassostrea gigas SB Not_applicable	biota
France_La Gauthier HG Mytilus edulis SB Not_applicable	France_La Gauthier HG Mytilus edulis SB Not_applicable	biota
France_La Gauthier HG Mytilus galloprovincialis SB Not_applicable	France_La Gauthier HG Mytilus galloprovincialis SB Not_applicable	biota
France_St Michel en Grève HG Mytilus galloprovincialis SB Not_applicable	France_St Michel en Grève HG Mytilus galloprovincialis SB Not_applicable	biota
Ireland_Kenmare River Outer Stn 1 HG Mytilus edulis SB Not_applicable	Ireland_Kenmare River Outer Stn 1 HG Mytilus edulis SB Not_applicable	biota
France_Pointe du Roselier HG Mytilus edulis SB Not_applicable	France_Pointe du Roselier HG Mytilus edulis SB Not_applicable	biota
Ireland_Cromane HG Mytilus edulis SB Not_applicable	Ireland_Cromane HG Mytilus edulis SB Not_applicable	biota
Ireland_Glengariff HG Mytilus edulis SB Not_applicable	Ireland_Glengariff HG Mytilus edulis SB Not_applicable	biota
Ireland_Ringaskiddy HG Mytilus edulis SB Not_applicable	Ireland_Ringaskiddy HG Mytilus edulis SB Not_applicable	biota
France_Aulne Rive droite HG Crassostrea gigas SB Not_applicable	France_Aulne Rive droite HG Crassostrea gigas SB Not_applicable	biota
France_Pen al Lann HG Crassostrea gigas SB Not_applicable	France_Pen al Lann HG Crassostrea gigas SB Not_applicable	biota
France_Persuel HG Crassostrea gigas SB Not_applicable	France_Persuel HG Crassostrea gigas SB Not_applicable	biota
United Kingdom_Severn_MilfordHav_sh01 HG Mytilus edulis SB Not_applicable	United Kingdom_Severn_MilfordHav_sh01 HG Mytilus edulis SB Not_applicable	biota
United Kingdom_Severn_SeInter_fi01 HG Limanda limanda LI Not_applicable	United Kingdom_Severn_SeInter_fi01 HG Limanda limanda LI Not_applicable	biota
United Kingdom_Severn_SeInter_fi01 HG Limanda limanda MU Not_applicable	United Kingdom_Severn_SeInter_fi01 HG Limanda limanda MU Not_applicable	biota
United Kingdom_Severn_SeOpenSeaE_fi01 HG Limanda limanda LI Not_applicable	United Kingdom_Severn_SeOpenSeaE_fi01 HG Limanda limanda LI Not_applicable	biota
Ireland_Cork Harbour HG Mytilus edulis SB Not_applicable	Ireland_Cork Harbour HG Mytilus edulis SB Not_applicable	biota
Ireland_Cork Harbour North Channel HG Mytilus edulis SB Not_applicable	Ireland_Cork Harbour North Channel HG Mytilus edulis SB Not_applicable	biota
Ireland_Kilmakillogue HG Mytilus edulis SB Not_applicable	Ireland_Kilmakillogue HG Mytilus edulis SB Not_applicable	biota
Ireland_Owenacurra Estuary HG Mytilus edulis SB Not_applicable	Ireland_Owenacurra Estuary HG Mytilus edulis SB Not_applicable	biota
United Kingdom_Severn_SeOpenSeaE_fi01 HG Limanda limanda MU Not_applicable	United Kingdom_Severn_SeOpenSeaE_fi01 HG Limanda limanda MU Not_applicable	biota
France_Baie de la Fresnaye HG Mytilus edulis SB Not_applicable	France_Baie de la Fresnaye HG Mytilus edulis SB Not_applicable	biota
France_Kervel HG Mytilus edulis SB Not_applicable	France_Kervel HG Mytilus edulis SB Not_applicable	biota
France_Rossermeur HG Crassostrea gigas SB Not_applicable	France_Rossermeur HG Crassostrea gigas SB Not_applicable	biota
France_Aber Benoît HG Crassostrea gigas SB Not_applicable	France_Aber Benoît HG Crassostrea gigas SB Not_applicable	biota
France_Beg Nod HG Crassostrea gigas SB Not_applicable	France_Beg Nod HG Crassostrea gigas SB Not_applicable	biota
France_Le Passage (b) HG Crassostrea gigas SB Not_applicable	France_Le Passage (b) HG Crassostrea gigas SB Not_applicable	biota
France_Le Vivier sur mer HG Mytilus edulis SB Not_applicable	France_Le Vivier sur mer HG Mytilus edulis SB Not_applicable	biota
France_St Michel en Grève HG Mytilus edulis SB Not_applicable	France_St Michel en Grève HG Mytilus edulis SB Not_applicable	biota
United Kingdom_MinchMalin_LoughFoyle_sh03 HG Mytilus edulis SB Not_applicable	United Kingdom_MinchMalin_LoughFoyle_sh03 HG Mytilus edulis SB Not_applicable	biota
United Kingdom_MinchMalin_LoughFoyle_sh01 HG Mytilus edulis SB Not_applicable	United Kingdom_MinchMalin_LoughFoyle_sh01 HG Mytilus edulis SB Not_applicable	biota
Ireland_Bruckless HG Crassostrea gigas SB Not_applicable	Ireland_Bruckless HG Crassostrea gigas SB Not_applicable	biota
United Kingdom_Hebrides_HebIntermediate_fi01 HG Limanda limanda LI Not_applicable	United Kingdom_Hebrides_HebIntermediate_fi01 HG Limanda limanda LI Not_applicable	biota
United Kingdom_Hebrides_HebIntermediate_fi01 HG Limanda limanda MU Not_applicable	United Kingdom_Hebrides_HebIntermediate_fi01 HG Limanda limanda MU Not_applicable	biota
Ireland_Quigleys Point ZN Ostrea edulis SB Not_applicable	Ireland_Quigleys Point ZN Ostrea edulis SB Not_applicable	biota
Ireland_Rosses Point ZN Mytilus edulis SB Not_applicable	Ireland_Rosses Point ZN Mytilus edulis SB Not_applicable	biota
Ireland_Shannon Estuary - Aughinish ZN Mytilus edulis SB Not_applicable	Ireland_Shannon Estuary - Aughinish ZN Mytilus edulis SB Not_applicable	biota
Ireland_Sligo Bay ZN Mytilus edulis SB Not_applicable	Ireland_Sligo Bay ZN Mytilus edulis SB Not_applicable	biota
Ireland_Swilly Estuary ZN Mytilus edulis SB Not_applicable	Ireland_Swilly Estuary ZN Mytilus edulis SB Not_applicable	biota
Ireland_Tralee Bay Inner ZN Mytilus edulis SB Not_applicable	Ireland_Tralee Bay Inner ZN Mytilus edulis SB Not_applicable	biota
Ireland_Tralee Bay Inner ZN Ostrea edulis SB Not_applicable	Ireland_Tralee Bay Inner ZN Ostrea edulis SB Not_applicable	biota
Ireland_Gweebarra Estuary ZN Mytilus edulis SB Not_applicable	Ireland_Gweebarra Estuary ZN Mytilus edulis SB Not_applicable	biota
Ireland_Drumcliff ZN Crassostrea gigas SB Not_applicable	Ireland_Drumcliff ZN Crassostrea gigas SB Not_applicable	biota
Ireland_Fenit ZN Mytilus edulis SB Not_applicable	Ireland_Fenit ZN Mytilus edulis SB Not_applicable	biota
Ireland_Lee K Estuary ZN Mytilus edulis SB Not_applicable	Ireland_Lee K Estuary ZN Mytilus edulis SB Not_applicable	biota
Ireland_Westport Bay ZN Mytilus edulis SB Not_applicable	Ireland_Westport Bay ZN Mytilus edulis SB Not_applicable	biota
United Kingdom_MinchMalin_TheMinchNorth_fi02 ZN Limanda limanda MU Not_applicable	United Kingdom_MinchMalin_TheMinchNorth_fi02 ZN Limanda limanda MU Not_applicable	biota
United Kingdom_Clyde_FirthCInnerDunoon_fi01 ZN Pleuronectes platessa LI Not_applicable	United Kingdom_Clyde_FirthCInnerDunoon_fi01 ZN Pleuronectes platessa LI Not_applicable	biota
United Kingdom_Clyde_FirthCInnerDunoon_fi01 ZN Pleuronectes platessa MU Not_applicable	United Kingdom_Clyde_FirthCInnerDunoon_fi01 ZN Pleuronectes platessa MU Not_applicable	biota
Ireland_Bannow Bay ZN Littorina littorea SB Not_applicable	Ireland_Bannow Bay ZN Littorina littorea SB Not_applicable	biota
United Kingdom_Clyde_SouthArran_fi01 ZN Limanda limanda LI Not_applicable	United Kingdom_Clyde_SouthArran_fi01 ZN Limanda limanda LI Not_applicable	biota
United Kingdom_Clyde_SouthArran_fi01 ZN Limanda limanda MU Not_applicable	United Kingdom_Clyde_SouthArran_fi01 ZN Limanda limanda MU Not_applicable	biota
Ireland_LSE Little Island - Cheekpoint ZN Mytilus edulis SB Not_applicable	Ireland_LSE Little Island - Cheekpoint ZN Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_ArdsPenninsula_sh03 ZN Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_ArdsPenninsula_sh03 ZN Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_LarneLoughSouth_sh01 ZN Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_LarneLoughSouth_sh01 ZN Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_StrangfordLoughN_sh01 ZN Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_StrangfordLoughN_sh01 ZN Mytilus edulis SB Not_applicable	biota
Ireland_Tolka Estuary ZN Mytilus edulis SB Not_applicable	Ireland_Tolka Estuary ZN Mytilus edulis SB Not_applicable	biota
Ireland_Waterford Harbour Stn 2 ZN Mytilus edulis SB Not_applicable	Ireland_Waterford Harbour Stn 2 ZN Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_BalcaryPoint_sh01 ZN Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_BalcaryPoint_sh01 ZN Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_LargsChannel_fi01 ZN Pleuronectes platessa LI Not_applicable	United Kingdom_Clyde_LargsChannel_fi01 ZN Pleuronectes platessa LI Not_applicable	biota
United Kingdom_Clyde_LargsChannel_fi01 ZN Pleuronectes platessa MU Not_applicable	United Kingdom_Clyde_LargsChannel_fi01 ZN Pleuronectes platessa MU Not_applicable	biota
United Kingdom_IrishSea_BalcaryPoint_fi01 ZN Limanda limanda LI Not_applicable	United Kingdom_IrishSea_BalcaryPoint_fi01 ZN Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_BalcaryPoint_fi01 ZN Limanda limanda MU Not_applicable	United Kingdom_IrishSea_BalcaryPoint_fi01 ZN Limanda limanda MU Not_applicable	biota
United Kingdom_IrishSea_IrSGyreIntermed_fi01 ZN Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSGyreIntermed_fi01 ZN Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSGyreIntermed_fi01 ZN Limanda limanda MU Not_applicable	United Kingdom_IrishSea_IrSGyreIntermed_fi01 ZN Limanda limanda MU Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi05 ZN Merlangius merlangus LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi05 ZN Merlangius merlangus LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi05 ZN Merlangius merlangus MU Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi05 ZN Merlangius merlangus MU Not_applicable	biota
United Kingdom_CardBay_CBInter_fi01 ZN Limanda limanda LI Not_applicable	United Kingdom_CardBay_CBInter_fi01 ZN Limanda limanda LI Not_applicable	biota
United Kingdom_CardBay_CBInter_fi01 ZN Limanda limanda MU Not_applicable	United Kingdom_CardBay_CBInter_fi01 ZN Limanda limanda MU Not_applicable	biota
United Kingdom_CardBay_CBInter_fi02 ZN Limanda limanda LI Not_applicable	United Kingdom_CardBay_CBInter_fi02 ZN Limanda limanda LI Not_applicable	biota
United Kingdom_CardBay_CBInter_fi02 ZN Limanda limanda MU Not_applicable	United Kingdom_CardBay_CBInter_fi02 ZN Limanda limanda MU Not_applicable	biota
United Kingdom_Clyde_ClydeEstuaryOuter_fi02 ZN Platichthys flesus LI Not_applicable	United Kingdom_Clyde_ClydeEstuaryOuter_fi02 ZN Platichthys flesus LI Not_applicable	biota
United Kingdom_Clyde_ClydeEstuaryOuter_fi02 ZN Platichthys flesus MU Not_applicable	United Kingdom_Clyde_ClydeEstuaryOuter_fi02 ZN Platichthys flesus MU Not_applicable	biota
United Kingdom_Clyde_FirthCInnerDunoon_fi01 ZN Limanda limanda LI Not_applicable	United Kingdom_Clyde_FirthCInnerDunoon_fi01 ZN Limanda limanda LI Not_applicable	biota
United Kingdom_Clyde_FirthCInnerDunoon_fi01 ZN Limanda limanda MU Not_applicable	United Kingdom_Clyde_FirthCInnerDunoon_fi01 ZN Limanda limanda MU Not_applicable	biota
United Kingdom_Clyde_FirthCMiddleOffshor_fi01 ZN Pleuronectes platessa LI Not_applicable	United Kingdom_Clyde_FirthCMiddleOffshor_fi01 ZN Pleuronectes platessa LI Not_applicable	biota
United Kingdom_Clyde_FirthCMiddleOffshor_fi01 ZN Pleuronectes platessa MU Not_applicable	United Kingdom_Clyde_FirthCMiddleOffshor_fi01 ZN Pleuronectes platessa MU Not_applicable	biota
United Kingdom_IrishSea_BalcaryPoint_fi01 ZN Pleuronectes platessa LI Not_applicable	United Kingdom_IrishSea_BalcaryPoint_fi01 ZN Pleuronectes platessa LI Not_applicable	biota
United Kingdom_IrishSea_BalcaryPoint_fi01 ZN Pleuronectes platessa MU Not_applicable	United Kingdom_IrishSea_BalcaryPoint_fi01 ZN Pleuronectes platessa MU Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi04 ZN Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi04 ZN Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi04 ZN Limanda limanda MU Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi04 ZN Limanda limanda MU Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi06 ZN Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi06 ZN Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi06 ZN Limanda limanda MU Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi06 ZN Limanda limanda MU Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi02 ZN Limanda limanda MU Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi02 ZN Limanda limanda MU Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi01 ZN Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi01 ZN Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi01 ZN Limanda limanda MU Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi01 ZN Limanda limanda MU Not_applicable	biota
