series	series_original	compartment
United Kingdom_HumWash_HWOpenSeaNE_fi04 CB156 Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi04 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 CB156 Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi01 CB156 Limanda limanda LI Not_applicable	biota
Germany_FOE-N01 CB156 Limanda limanda LI Not_applicable	Germany_FOE-N01 CB156 Limanda limanda LI Not_applicable	biota
The Netherlands_MIDDGBWPMLPT CB156 Platichthys flesus LI Not_applicable	The Netherlands_MIDDGBWPMLPT CB156 Platichthys flesus LI Not_applicable	biota
The Netherlands_NOORDWWT CB156 Platichthys flesus LI Not_applicable	The Netherlands_NOORDWWT CB156 Platichthys flesus LI Not_applicable	biota
The Netherlands_PAAPGTGRDPT CB156 Platichthys flesus LI Not_applicable	The Netherlands_PAAPGTGRDPT CB156 Platichthys flesus LI Not_applicable	biota
Belgium_BCP CB156 Platichthys flesus MU Not_applicable	Belgium_BCP CB156 Platichthys flesus MU Not_applicable	biota
Belgium_DVZ_KNO CB156 Mytilus edulis SB Not_applicable	Belgium_DVZ_KNO CB156 Mytilus edulis SB Not_applicable	biota
Belgium_DVZ_NWP CB156 Mytilus edulis SB Not_applicable	Belgium_DVZ_NWP CB156 Mytilus edulis SB Not_applicable	biota
Belgium_DVZ_OST CB156 Mytilus edulis SB Not_applicable	Belgium_DVZ_OST CB156 Mytilus edulis SB Not_applicable	biota
Belgium_BCP CB156 Platichthys flesus LI Not_applicable	Belgium_BCP CB156 Platichthys flesus LI Not_applicable	biota
The Netherlands_KNUITHK CB156 Mytilus edulis SB Not_applicable	The Netherlands_KNUITHK CB156 Mytilus edulis SB Not_applicable	biota
France_Baie de Lampaul CB156 Crassostrea gigas SB Not_applicable	France_Baie de Lampaul CB156 Crassostrea gigas SB Not_applicable	biota
France_Baie de Lampaul CB156 Mytilus edulis SB Not_applicable	France_Baie de Lampaul CB156 Mytilus edulis SB Not_applicable	biota
France_Ville Ger CB156 Ruditapes philippinarum SB Not_applicable	France_Ville Ger CB156 Ruditapes philippinarum SB Not_applicable	biota
France_Kervel CB156 Crassostrea gigas SB Not_applicable	France_Kervel CB156 Crassostrea gigas SB Not_applicable	biota
France_La Gauthier CB156 Mytilus edulis SB Not_applicable	France_La Gauthier CB156 Mytilus edulis SB Not_applicable	biota
France_La Gauthier CB156 Mytilus galloprovincialis SB Not_applicable	France_La Gauthier CB156 Mytilus galloprovincialis SB Not_applicable	biota
France_St Michel en Grève CB156 Mytilus galloprovincialis SB Not_applicable	France_St Michel en Grève CB156 Mytilus galloprovincialis SB Not_applicable	biota
Ireland_Cromane CB156 Crassostrea gigas SB Not_applicable	Ireland_Cromane CB156 Crassostrea gigas SB Not_applicable	biota
France_Pointe du Roselier CB156 Mytilus edulis SB Not_applicable	France_Pointe du Roselier CB156 Mytilus edulis SB Not_applicable	biota
France_Pointe du Roselier CB156 Mytilus galloprovincialis SB Not_applicable	France_Pointe du Roselier CB156 Mytilus galloprovincialis SB Not_applicable	biota
France_St Michel en Grève CB156 Mytilus edulis SB Not_applicable	France_St Michel en Grève CB156 Mytilus edulis SB Not_applicable	biota
France_Persuel CB156 Crassostrea gigas SB Not_applicable	France_Persuel CB156 Crassostrea gigas SB Not_applicable	biota
Ireland_Kenmare River Outer Stn 1 CB156 Mytilus edulis SB Not_applicable	Ireland_Kenmare River Outer Stn 1 CB156 Mytilus edulis SB Not_applicable	biota
United Kingdom_Severn_SeInter_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_Severn_SeInter_fi01 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_Severn_SeOpenSeaE_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_Severn_SeOpenSeaE_fi01 CB156 Limanda limanda LI Not_applicable	biota
France_Rossermeur CB156 Crassostrea gigas SB Not_applicable	France_Rossermeur CB156 Crassostrea gigas SB Not_applicable	biota
France_Aber Benoît CB156 Crassostrea gigas SB Not_applicable	France_Aber Benoît CB156 Crassostrea gigas SB Not_applicable	biota
France_Aulne Rive droite CB156 Crassostrea gigas SB Not_applicable	France_Aulne Rive droite CB156 Crassostrea gigas SB Not_applicable	biota
France_Baie de la Fresnaye CB156 Mytilus edulis SB Not_applicable	France_Baie de la Fresnaye CB156 Mytilus edulis SB Not_applicable	biota
France_Beg Nod CB156 Crassostrea gigas SB Not_applicable	France_Beg Nod CB156 Crassostrea gigas SB Not_applicable	biota
France_Kervel CB156 Mytilus edulis SB Not_applicable	France_Kervel CB156 Mytilus edulis SB Not_applicable	biota
France_Pen al Lann CB156 Crassostrea gigas SB Not_applicable	France_Pen al Lann CB156 Crassostrea gigas SB Not_applicable	biota
Ireland_Bandon Estuary Lower CB156 Mytilus edulis SB Not_applicable	Ireland_Bandon Estuary Lower CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Bantry Bay Inner CB156 Mytilus edulis SB Not_applicable	Ireland_Bantry Bay Inner CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Cork Harbour CB156 Mytilus edulis SB Not_applicable	Ireland_Cork Harbour CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Cromane CB156 Mytilus edulis SB Not_applicable	Ireland_Cromane CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Glengariff CB156 Mytilus edulis SB Not_applicable	Ireland_Glengariff CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Kilmakillogue CB156 Mytilus edulis SB Not_applicable	Ireland_Kilmakillogue CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Lough Mahon CB156 Mytilus edulis SB Not_applicable	Ireland_Lough Mahon CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Roaringwater Bay Inner CB156 Mytilus edulis SB Not_applicable	Ireland_Roaringwater Bay Inner CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Roaringwater Bay Outer Stn 1 CB156 Mytilus edulis SB Not_applicable	Ireland_Roaringwater Bay Outer Stn 1 CB156 Mytilus edulis SB Not_applicable	biota
France_Le Passage (b) CB156 Crassostrea gigas SB Not_applicable	France_Le Passage (b) CB156 Crassostrea gigas SB Not_applicable	biota
Ireland_Ringaskiddy CB156 Mytilus edulis SB Not_applicable	Ireland_Ringaskiddy CB156 Mytilus edulis SB Not_applicable	biota
France_Le Vivier sur mer CB156 Mytilus edulis SB Not_applicable	France_Le Vivier sur mer CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Owenacurra Estuary CB156 Mytilus edulis SB Not_applicable	Ireland_Owenacurra Estuary CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Cork Harbour North Channel CB156 Mytilus edulis SB Not_applicable	Ireland_Cork Harbour North Channel CB156 Mytilus edulis SB Not_applicable	biota
United Kingdom_Hebrides_HebIntermediate_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_Hebrides_HebIntermediate_fi01 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_MinchMalin_Colonsay_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_MinchMalin_Colonsay_fi01 CB156 Limanda limanda LI Not_applicable	biota
Ireland_Broadhaven Bay CB156 Mytilus edulis SB Not_applicable	Ireland_Broadhaven Bay CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Bruckless CB156 Mytilus edulis SB Not_applicable	Ireland_Bruckless CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Clarenbridge CB156 Crassostrea gigas SB Not_applicable	Ireland_Clarenbridge CB156 Crassostrea gigas SB Not_applicable	biota
Ireland_Clew Bay North CB156 Mytilus edulis SB Not_applicable	Ireland_Clew Bay North CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Drumcliff CB156 Crassostrea gigas SB Not_applicable	Ireland_Drumcliff CB156 Crassostrea gigas SB Not_applicable	biota
Ireland_Fenit CB156 Mytilus edulis SB Not_applicable	Ireland_Fenit CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Kilkieran Bay North CB156 Mytilus edulis SB Not_applicable	Ireland_Kilkieran Bay North CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Killary Harbour Inner CB156 Mytilus edulis SB Not_applicable	Ireland_Killary Harbour Inner CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Kinvara CB156 Mytilus edulis SB Not_applicable	Ireland_Kinvara CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Lee K Estuary CB156 Mytilus edulis SB Not_applicable	Ireland_Lee K Estuary CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Maharees CB156 Ostrea edulis SB Not_applicable	Ireland_Maharees CB156 Ostrea edulis SB Not_applicable	biota
Ireland_Quigleys Point CB156 Ostrea edulis SB Not_applicable	Ireland_Quigleys Point CB156 Ostrea edulis SB Not_applicable	biota
Ireland_Sligo Bay CB156 Mytilus edulis SB Not_applicable	Ireland_Sligo Bay CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Gweebarra Estuary CB156 Mytilus edulis SB Not_applicable	Ireland_Gweebarra Estuary CB156 Mytilus edulis SB Not_applicable	biota
Ireland_Gweebarra Bay CB156 Mytilus edulis SB Not_applicable	Ireland_Gweebarra Bay CB156 Mytilus edulis SB Not_applicable	biota
United Kingdom_MinchMalin_Colonsay_fi01 CB156 Pleuronectes platessa LI Not_applicable	United Kingdom_MinchMalin_Colonsay_fi01 CB156 Pleuronectes platessa LI Not_applicable	biota
